!	bang|exclamation|mark|point
#	hash|hashtag|lb|number|pound|sign
#⃣	keycap
$	dollar|money|peso|usd
⛹🏿‍♂	athletic|ball|basketball|bouncing|championship|dark|skin|tone|dribble|man|net|player|throw
⛺	camping|tent
⛽	diesel|fuel|fuelpump|gas|gasoline|pump|station
✂	cut|cutting|paper|scissors|tool
✅	button|check|checked|checkmark|complete|completed|done|fixed|mark|tick
✈	aeroplane|airplane|fly|flying|jet|plane|travel
✉	mail|email|envelope|letter
✊	clenched|fist|hand|punch|raised|solidarity
✊🏻	clenched|fist|hand|light|skin|tone|punch|raised|solidarity
✊🏼	clenched|fist|hand|medium|light|skin|tone|punch|raised|solidarity
✊🏽	clenched|fist|hand|medium|skin|tone|punch|raised|solidarity
✊🏾	clenched|fist|hand|medium|dark|skin|tone|punch|raised|solidarity
✊🏿	clenched|dark|skin|tone|fist|hand|punch|raised|solidarity
✋	five|hand|high|raised|stop
✋🏻	five|hand|high|light|skin|tone|raised|stop
✋🏼	five|hand|high|medium|light|skin|tone|raised|stop
✋🏽	five|hand|high|medium|skin|tone|raised|stop
✋🏾	five|hand|high|medium|dark|skin|tone|raised|stop
✋🏿	dark|skin|tone|five|hand|high|raised|stop
✌	hand|peace|victory
✌🏻	hand|light|skin|tone|peace|victory
✌🏼	hand|medium|light|skin|tone|peace|victory
✌🏽	hand|medium|skin|tone|peace|victory
✌🏾	hand|medium|dark|skin|tone|peace|victory
✌🏿	dark|skin|tone|hand|peace|victory
✍	hand|write|writing
✍🏻	hand|light|skin|tone|write|writing
✍🏼	hand|medium|light|skin|tone|write|writing
✍🏽	hand|medium|skin|tone|write|writing
✍🏾	hand|medium|dark|skin|tone|write|writing
✍🏿	dark|skin|tone|hand|write|writing
✏	pencil
✒	black|nib|pen
✔	check|checked|checkmark|done|heavy|mark|tick
✖	cancel|multiplication|multiply|sign
✝	christ|christian|cross|latin|religion
✡	david|jew|jewish|judaism|religion|star
✨	magic|sparkle|sparkles|star
✳	asterisk|eight|spoked
✴	eight|pointed|star
❄	cold|snow|snowflake|weather
❇	sparkle
❌	cancel|cross|mark|multiplication|multiply
❎	button|cross|mark|multiplication|multiply|square
❓	mark|punctuation|question|red
❔	mark|outlined|punctuation|question|white
❕	exclamation|mark|outlined|punctuation|white
❗	exclamation|mark|punctuation|red
❣	exclamation|heart|heavy|mark|punctuation
❤	emotion|heart|love|red
❤‍🔥	burn|fire|heart|love|lust|sacred
❤‍🩹	healthier|heart|improving|mending|recovering|recuperating|well
➕	plus
➖	heavy|math|minus|sign
➗	divide|division|heavy|math|sign
➡	arrow|cardinal|direction|east|right
➰	curl|curly|loop
➿	curl|curly|double|loop
⤴	arrow|curving|right|up
⤵	arrow|curving|down|right
⨧	plus|subscript|two
⨯	cross|product|vector
⨼	interior|product
⩣	double|logical|underbar
⩽	equal|less|than|slanted
⪍	above|equal|less|than|similar
⪚	double|line|equal|greater|than|inequality|mathematics
⪺	above|almost|equal|not|succeeds
⬅	arrow|cardinal|direction|left|west
⬆	arrow|cardinal|direction|north|up
⬇	arrow|cardinal|direction|down|south
⬛	black|geometric|large|square
⬜	geometric|large|square|white
⭐	astronomy|medium|star|stars|white
⭕	circle|heavy|hollow|large|red
、	comma|ideographic
。	full|ideographic|period|stop
〈	angle|bracket|brackets|chevron|diamond|open|pointy|tuple
〉	angle|bracket|brackets|chevron|close|diamond|pointy|tuple
《	angle|bracket|double|open
》	angle|bracket|close|double
「	bracket|corner|open
」	bracket|close|corner
『	bracket|corner|hollow|open
』	bracket|close|corner|hollow
【	black|bracket|lens|lenticular|open
】	black|bracket|close|lens|lenticular
〔	bracket|open|shell|tortoise
〕	bracket|close|shell|tortoise
〖	bracket|hollow|lens|lenticular|open
〗	bracket|close|hollow|lens|lenticular
〰	dash|punctuation|wavy
〽	alternation|mark|part
・	dot|dots|interpunct|katakana|middle|middot
㊗	button|congratulations|ideograph|japanese
㊙	button|ideograph|japanese|secret
﷼	currency|rial
🀄	dragon|game|mahjong|red
🃏	card|game|joker|wildcard
🅰	blood|button|type
🅱	blood|button|type
🅾	blood|button|type
🅿	button|parking
🆎	ab|blood|button|type
🆑	button|cl
🆒	button|cool
🆓	button|free
🆔	button|id|identity
🆕	button|new
🆖	button|ng
🆗	button|ok|okay
🆘	button|help|sos
🆙	button|mark|up
🆚	button|versus|vs
🇦🇨	flag|ascension|island
🇦🇩	flag|andorra
🇦🇪	flag|united|arab|emirates
🇦🇫	flag|afghanistan
